type,name,label::English,label::Dari,label::Pashto,hint::English,hint::Dari,hint::Pashto,required,relevant,choice_filter,appearance,constraint,constraint_message::English,constraint_message::Dari,constraint_message::Pashto,repeat_count,calculation,media::image
select_one lcsi_list,lcsi_more_labour,"Increased daily labour (increase number of days, increase number of working hours)","?????? ??? ??????(?????? ????? ?????, ?????? ???? ??? ??? ????)",? ????? ????? ???????? (? ????? ????? ????? ??? ??? ?? ?? ?? ????? ???? ??? ???),,,,TRUE,,,minimal,,,,,,,
select_one lcsi_list,lcsi_sold_natural_resources,Increased collection and sale of natural resources,?????? ??? ???? ? ?????? ????? ????,? ????? ???? ?????? ?? ????? ?? ????? ( ? ????? ????? ?????),,,,TRUE,,,minimal,,,,,,,
select_one lcsi_list,lcsi_spent_savings,Spent savings,???? ?? ????? ??,? ???? ?? ??? ?????,,,,TRUE,,,minimal,,,,,,,
select_one lcsi_list,lcsi_sold_assets,"Sold household assets (appliances, furniture, doors, windows, roof beams)                         ","???? ????? ????(??????, ??????, ?????)",? ??? ???? ????? (??? ??????? ??????? ?? ??? ????),,,,TRUE,,,minimal,,,,,,,
select_one lcsi_list,lcsi_sold_animals,Sold more animals than usual or earlier than usual ,???? ????? ????? ??? ?????,? ????? ?? ? ????? ?????? ????? ,,,,TRUE,,,minimal,,,,,,,
select_one lcsi_list,lcsi_borrow,Borrow food or money for food,??? ????? ??? ?? ??? ???? ???,? ?????? ???? ?? ???  ?????? ?? ?? ?? ???? ??????,,,,TRUE,,,minimal,,,,,,,
select_one lcsi_list,lcsi_sold_income_gen,Sold income generating equipment,???? ??????? ????? ??,? ???? ? ?????? ????? ?????,,,,TRUE,,,minimal,,,,,,,
select_one lcsi_list,lcsi_less_exp_ag,"Decreased expenditure on fertilizer, pesticide, fodder, animal feed, veterinary care, etc. ",???? ????? ??? ???? ??? ??? ?????? ????? ???? ?????? ??? ???????? ? ????,? ?????? ?? ?????? ???? ??????? ?? ???? (? ???? ??? ?? ?????? ???????? ?? ???? ???),,,,TRUE,,,minimal,,,,,,,
select_one lcsi_list,lcsi_less_exp_services,"Decreased expenditures on health, education, etc.     ","???? ???? ?? ????? ???, ?????? ? ????",? ???????? ?? ?????? ??????? ?? ????,,,,TRUE,,,minimal,,,,,,,
select_one lcsi_list,lcsi_sold_land,Sold house or land   ,???? ???? ?? ????,? ??? ?? ???? ?????,,,,TRUE,,,minimal,,,,,,,
select_one lcsi_list,lcsi_sold_female_animals,Sold last female animals ,???? ????? ??????? ??????,? ?????? ????? ????? ?????,,,,TRUE,,,minimal,,,,,,,
select_one lcsi_list,lcsi_begging,Begging/Rely on Charity,?????/???? ?? ????? ????,???? ???/????? ???? ???,,,,TRUE,,,minimal,,,,,,,
end group,,,,,,,,,,,,,,,,,,
calculate,lcsi_migrated_exhausted,,,,,,,,,,,,,,,,"if(selected(${lcsi_migrated}, 'exhausted'), '1', '0')",
calculate,lcsi_more_labour_exhausted,,,,,,,,,,,,,,,,"if(selected(${lcsi_more_labour}, 'exhausted'), '1', '0')",
calculate,lcsi_sold_natural_resources_exhausted,,,,,,,,,,,,,,,,"if(selected(${lcsi_sold_natural_resources}, 'exhausted'), '1', '0')",
calculate,lcsi_spent_savings_exhausted,,,,,,,,,,,,,,,,"if(selected(${lcsi_spent_savings}, 'exhausted'), '1', '0')",
calculate,lcsi_sold_assets_exhausted,,,,,,,,,,,,,,,,"if(selected(${lcsi_sold_assets}, 'exhausted'), '1', '0')",
calculate,lcsi_sold_animals_exhausted,,,,,,,,,,,,,,,,"if(selected(${lcsi_sold_animals}, 'exhausted'), '1', '0')",
calculate,lcsi_borrow_exhausted,,,,,,,,,,,,,,,,"if(selected(${lcsi_borrow}, 'exhausted'), '1', '0')",
calculate,lcsi_sold_income_gen_exhausted,,,,,,,,,,,,,,,,"if(selected(${lcsi_sold_income_gen}, 'exhausted'), '1', '0')",
calculate,lcsi_less_exp_ag_exhausted,,,,,,,,,,,,,,,,"if(selected(${lcsi_less_exp_ag}, 'exhausted'), '1', '0')",
calculate,lcsi_less_exp_services_exhausted,,,,,,,,,,,,,,,,"if(selected(${lcsi_less_exp_services}, 'exhausted'), '1', '0')",
calculate,lcsi_sold_land_exhausted,,,,,,,,,,,,,,,,"if(selected(${lcsi_sold_land}, 'exhausted'), '1', '0')",
calculate,lcsi_sold_female_animals_exhausted,,,,,,,,,,,,,,,,"if(selected(${lcsi_sold_female_animals}, 'exhausted'), '1', '0')",
calculate,lcsi_begging_exhausted,,,,,,,,,,,,,,,,"if(selected(${lcsi_begging}, 'exhausted'), '1', '0')",
calculate,lcsi_migrated_used,,,,,,,,,,,,,,,,"if(selected(${lcsi_migrated}, 'yes'), '1', '0')",
calculate,lcsi_more_labour_used,,,,,,,,,,,,,,,,"if(selected(${lcsi_more_labour}, 'yes'), '1', '0')",
calculate,lcsi_sold_natural_resources_used,,,,,,,,,,,,,,,,"if(selected(${lcsi_sold_natural_resources}, 'yes'), '1', '0')",
calculate,lcsi_spent_savings_used,,,,,,,,,,,,,,,,"if(selected(${lcsi_spent_savings}, 'yes'), '1', '0')",
calculate,lcsi_sold_assets_used,,,,,,,,,,,,,,,,"if(selected(${lcsi_sold_assets}, 'yes'), '1', '0')",
calculate,lcsi_sold_animals_used,,,,,,,,,,,,,,,,"if(selected(${lcsi_sold_animals}, 'yes'), '1', '0')",
calculate,lcsi_borrow_used,,,,,,,,,,,,,,,,"if(selected(${lcsi_borrow}, 'yes'), '1', '0')",
calculate,lcsi_sold_income_gen_used,,,,,,,,,,,,,,,,"if(selected(${lcsi_sold_income_gen}, 'yes'), '1', '0')",
calculate,lcsi_less_exp_ag_used,,,,,,,,,,,,,,,,"if(selected(${lcsi_less_exp_ag}, 'yes'), '1', '0')",
calculate,lcsi_less_exp_services_used,,,,,,,,,,,,,,,,"if(selected(${lcsi_less_exp_services}, 'yes'), '1', '0')",
calculate,lcsi_sold_land_used,,,,,,,,,,,,,,,,"if(selected(${lcsi_sold_land}, 'yes'), '1', '0')",
calculate,lcsi_sold_female_animals_used,,,,,,,,,,,,,,,,"if(selected(${lcsi_sold_female_animals}, 'yes'), '1', '0')",
calculate,lcsi_begging_used,,,,,,,,,,,,,,,,"if(selected(${lcsi_begging}, 'yes'), '1', '0')",
calculate,lcsi_normal_exhausted,,,,,,,,,,,,,,,,${lcsi_migrated_exhausted} + ${lcsi_more_labour_exhausted} + ${lcsi_sold_natural_resources_exhausted},
calculate,lcsi_normal_used,,,,,,,,,,,,,,,,${lcsi_migrated_used} + ${lcsi_more_labour_used} + ${lcsi_sold_natural_resources_used},
calculate,lcsi_stress_exhausted,,,,,,,,,,,,,,,,${lcsi_spent_savings_exhausted} + ${lcsi_sold_assets_exhausted} + ${lcsi_sold_animals_exhausted} + ${lcsi_borrow_exhausted},
calculate,lcsi_stress_used,,,,,,,,,,,,,,,,${lcsi_spent_savings_used} + ${lcsi_sold_assets_used} + ${lcsi_sold_animals_used} + ${lcsi_borrow_used},
calculate,lcsi_crisis_exhausted,,,,,,,,,,,,,,,,${lcsi_sold_income_gen_exhausted} + ${lcsi_less_exp_ag_exhausted} + ${lcsi_less_exp_services_exhausted},
calculate,lcsi_crisis_used,,,,,,,,,,,,,,,,${lcsi_sold_income_gen_used} + ${lcsi_less_exp_ag_used} + ${lcsi_less_exp_services_used},
calculate,lcsi_emergency_exhausted,,,,,,,,,,,,,,,,${lcsi_sold_land_exhausted} + ${lcsi_sold_female_animals_exhausted} + ${lcsi_begging_exhausted},
calculate,lcsi_emergency_used,,,,,,,,,,,,,,,,${lcsi_sold_land_used} + ${lcsi_sold_female_animals_used} + ${lcsi_begging_used},
calculate,lcsi_score,,,,,,,,,,,,,,,,"if(${lcsi_emergency_exhausted} > 0 or ${lcsi_emergency_used} > 0, ""4"", if(${lcsi_crisis_exhausted} > 0 or ${lcsi_crisis_used} > 0, ""3"", if(${lcsi_stress_exhausted} > 0 or ${lcsi_stress_used} > 0, ""2"", ""1"")))",
calculate,lcsi_category,,,,,,,,,,,,,,,,"if(${lcsi_score} = 4, ""severely_insecure"", if(${lcsi_score} = 3, ""moderately_insecure"", if(${lcsi_score} = 2, ""marginally_insecure"", ""food_secure"")))",
end group,,,,,,,,,,,,,,,,,,
begin group,E,AAP + Humanitarian Access,??? ??? ?????????? ,???? ????? ?? ??????,,,,,"selected(${consent}, ""yes"")",,,,,,,,,
note,aap_note,Note: In the following couple of questions we will talk about your communication and information about humanitarian assistance in general. ,?????? :?? ?? ??? ?????? ??? ?? ???? ??????? ??? ??? ?????????? ???? ???? ?? ??? ???? ?????? ,??????: ?? ????? ??? ?????? ?? ?? ???? ?? ????? ???? ? ???? ????? ?? ???? ????? ? ????? ?? ???????? ?? ??? ???? ????.,,,,,,,,,,,,,,
select_multiple info_preference_list,info_preference,What type of information would you like to receive from aid providers?,?? ??? ??????? ?? ?? ?????? ?? ????? ????? ??? ?????? ?????,???? ? ????? ?????????? ??? ??? ??? ??????? ????? ?? ?????? ?? ???? ?? ?? ??????? ????? ??.,Multiple answers possible.,????? ????? ,??? ??????? ?????????? ??.,TRUE,,,,"not(selected(., ""none"") and count-selected(.) > 1)","Cannot select ""None of the above"" and other options.","????? "" ??? ???? ?? ????? ??? "" ? ???? ????? ?? ?? ?????? ???? ????????? ","???? ??? ????? ?? ""??? ?? ? ????? ??? ???? ??? "" ?? (???) ?????? ???.",,,
select_one yn_list,info_adequate,Do you feel adequately informed about available assistance and how to access it?,??? ??? ?? ???? ??? ??? ?????? ???? ???? ????? ?? ??????? ??????,??? ???? ? ?????? ???? ????? ?? ???? ?? ? ?????? ?? ??? ?? ???? ?????? ??????? ????,,,,TRUE,,,,,,,,,,
select_one info_source_preference_list,info_source_preference,What is your preferred means of receiving information about the humanitarian assistance?,???  ?? ?? ????? ?????? ?? ?? ???? ??? ??? ???? ?? ?????? ???? ??? ??????? ?????? ?????,????? ????? ? ???? ????? ???????? ?????? ???? ?? ??? ???? ???? ?? ???,,,,TRUE,,,,,,,,,,
select_one yn_list,feedback_awareness,"Is the household aware of any feedback or complaint mechanisms, to reach aid providers about community needs or assistance received?",??? ??????? ??  ???????? ??? ??? ? ????? ?? ???? ?????? ??? ? ?? ???????? ??? ????? ???? ???? ??????,??? ????? ????? ?????? ???? ?? ??? ? ????? ?????? ??????? ?? ? ????? ?????? ? ??? ??? (fedback) ?? ???????? ???????? ??? ??? ???? ,,,,TRUE,,,,,,,,,,
select_multiple feedback_awareness_what_list,feedback_awareness_what,"If yes, which mechanisms are you aware of?",??? ???? ?? ???? ???????? ???? ??????,?? ?? ???? ? ??? ??? ??????????? ?? ??? ??? ?????,Multiple answers possible.,????? ????? ,??? ??????? ?????????? ??.,TRUE,"selected(${feedback_awareness}, ""yes"")",,,,,,,,,
select_one feedback_preference_list,feedback_preference,What is the preferred way of communicating with and providing feedback to aid providers about community needs or assistance received?,???? ??? ???? ??????  ?????  ? ??? ???? ?? ???? ?????? ??? ???  ???????? ????? ????? ??? ????? ????? ??????? ,? ????? ??????  ??? ? ????? ? ??????? ??  ? ???? ??? ????? ?? ??? ? ????? ????? ????? ???? ???? ???? ???,,,,TRUE,,,,,,,,,,
select_multiple priority_needs_list,priority_needs,What are the 3 priority needs of your household?,?? ??????? ???? ? ????? ??????? ??? ???? ????,????? ? ????? ????? 3 ???????? ??? ??? ?? 3 ???? ??????? ???? ?? ?? ???? ??,"Up to 3 answers possible, but not necessary. Select the applicable options based on the responses of the respondent, do not read out loud.","?? 3 ???? ???? ???, ??? ???? ???? . 
????? ???? ?? ?? ???? ???? ???? ????? ?????? ????. ????? ?? ?? ???? ???????",?? ? ??????? ???? ?????? ????? ??? ???? ???? ???. ??? ??????? ?????? ??? ?? ???? ???????? ?? ???? ????? ???? ??? ????????? ?? ???? ??????.  ,TRUE,,,,"not(selected(., ""none"") and count-selected(.) > 1) and count-selected(.) <= 3","Cannot select ""None of the above"" and other options.","????? "" ??? ???? ?? ????? ??? "" ? ???? ????? ?? ?? ?????? ???? ????????? ","???? ??? ????? ?? ""??? ?? ? ????? ??? ???? ??? "" ?? (???) ?????? ???.",,,
select_one aid_preference_list,aid_preference,"For households that have a need, what would be the preferred method for receiving assistance?",???? ??????? ??? ?????? ???? ??? ???? ?????? ???  ????? ????? ????,??? ????? ?? ????? ?? ????? ???? ? ????? ? ??? ?? ?????? ????? ???? ??? ???? ???,,,,TRUE,,,,,,,,,,
select_one yn_list,aid_access_issue,"In the past 6 months, were you aware of a humanitarian assistance distribution but could not reach it?", ??? ?? 6 ??? ????? ??? ?? ??? ??? ?????????? ????? ?????? ??? ????????? ?? ?? ?????? ?????,?? ???? 6 ?????? ?? ? ???? ????? ? ??? ?? ??????? ?? ???? ???? ?????? ?? ???? ??????,,,,TRUE,,,,,,,,,,
select_one aid_access_issue_type_list,aid_access_issue_type,Why were you unable to access the humanitarian assistance?,??? ??? ???? ?? ?????? ??? ??? ?????????? ???????,???? ??? ?????????? ?? ???? ????? ?? ?????? ?????,,,,TRUE,"selected(${aid_access_issue}, ""yes"")",,,,,,,,,
select_one yn_list,sim_card,Does your households own a phone with a sim card that is registered to an individual that is part of your household?,??? ??? ?? ??????? ??? ????? ????? ???? ?? ?? ???? ?????? ??? ?????,??? ???? ?? ?? ?? ????? ? ????? ??? ??? ?????? ????,,,,TRUE,,,,,,,,,,
select_one yn_list,bank_account,Does anyone in your households have a bank account registered to his/her name?,??? ??? ?? ??????? ??? ???? ????? ????? ,??? ????? ? ????? ??? ??? ????? ???? ??? ?? ? ???/??? ?? ??? ??? ???,,,,TRUE,,,,,,,,,,
end group,,,,,,,,,,,,,,,,,,
begin group,F,Food Security,????? ????? ,? ???? ????????,,,,,"selected(${consent}, ""yes"")",,,,,,,,,
note,food_security_note,In the following couple of questions we will talk about your access to and consumption of food. Please remember none of these questions relate to any assistance being provided.,???: ?? ???? ??? ??? ?? ?? ???? ?????? ? ???? ??? ???? ?????? ???. ?? ??? ????? ????? ?? ??? ???? ?? ?? ???? ??? ?? ??? ?????? ???,??????: ?? ????? ??? ?????? ?? ?? ???? ????? ? ???? ?? ????  ?? ??? ???? ????. ??????? ???? ?? ??? ???? ?? ?? ?????? ? ??? ???? ????? ???? ???? ???? ???? ????.,,,,,,,,,,,,,,
begin group,f1,"Over the last 7 days, on how many days did household members eat any of the following foods?",?? 7 ??? ?????  ??????? ??? ??? ??? ?? ??? ??? ??? ??????? ??????,?? ???? ? ???? ?? ? ????? ??? ?? ??? ??? ????? ????? ????? ???,,,,,,,field-list,,,,,,,
integer,cereals_tubers,"Rice, bread, potatoes, maize (all cereals & tubers)",???????? ?????????????(  ?????? ? ?????),?????? ??? ????? ????? ?? ??? ??? ???  ,,,,TRUE,,,,.>=0 and .<=7,Must be between 0 and 7 days.,???? ??? 0 ? 7 ??? ????,???? ? ??? (?) ?? ? ???? ?? ??? ??. ,,,
integer,pulses_nuts,"Beans, peas, chickepeas, peanuts, cashewnuts, other nuts (all pulses & nuts)",?????????????? ?????????????????? ? ???? ???? ??? ,? ??? ???? ????? ?? ???? ?? ?? ?????? ?????? ???? ?? ??? ?????? ????? ??,,,,TRUE,,,,.>=0 and .<=7,Must be between 0 and 7 days.,???? ??? 0 ? 7 ??? ????,???? ? ??? (?) ?? ? ???? ?? ??? ??. ,,,
integer,vegetables,All vegetables,???? ??????? ,? ??? ???? ????? ?? ???? ?? ?? ??????? ????? ??,,,,TRUE,,,,.>=0 and .<=7,Must be between 0 and 7 days.,???? ??? 0 ? 7 ??? ????,???? ? ??? (?) ?? ? ???? ?? ??? ??. ,,,
integer,fruit,All fruits,???? ?????? ,? ??? ???? ????? ?? ???? ?? ?? ???? ????? ??,,,,TRUE,,,,.>=0 and .<=7,Must be between 0 and 7 days.,???? ??? 0 ? 7 ??? ????,???? ? ??? (?) ?? ? ???? ?? ??? ??. ,,,
integer,meat_fish_eggs,"Beef, goat, poultry, eggs, fish, sheep (all meat & fish)",????????????????????????????(???? ? ???? ),??? ???? ????? ?? ???? ?? ?? ?????? ????? ? ??? ????? ?????? ???? ??????? (??? ??? ???? ?? ??????) ????? ??,,,,TRUE,,,,.>=0 and .<=7,Must be between 0 and 7 days.,???? ??? 0 ? 7 ??? ????,???? ? ??? (?) ?? ? ???? ?? ??? ??. ,,,
integer,dairy,"Milk, yoghurt (all dairy products)",??????????(??????),? ??? ???? ????? ?? ???? ?? ?? ????? ???? (??? ??????? ???????) ????? ??,"Does NOT include margarine, butter, and small amounts of milk for tea/coffee.","???? ????, ????, ? ???? ???? ??? ???? ??? ?? ????",? ???/???? ????? ????? ????? ?? ????? ?????? ???? ?? ????? ???. ,TRUE,,,,.>=0 and .<=7,Must be between 0 and 7 days.,???? ??? 0 ? 7 ??? ????,???? ? ??? (?) ?? ? ???? ?? ??? ??. ,,,
integer,sugars,"Sugar, honey (all sugar products)",??????? (?????? ???),? ??? ???? ????? ?? ???? ????? ??? ????? ??? ?? ???? ??? ????? ??,,,,TRUE,,,,.>=0 and .<=7,Must be between 0 and 7 days.,???? ??? 0 ? 7 ??? ????,???? ? ??? (?) ?? ? ???? ?? ??? ??. ,,,
integer,oils,"Oil, fat, butter",?????????????,? ??? ???? ????? ?? ???? ?? ?? ????? ????? ?? ??? ????? ??,,,,TRUE,,,,.>=0 and .<=7,Must be between 0 and 7 days.,???? ??? 0 ? 7 ??? ????,???? ? ??? (?) ?? ? ???? ?? ??? ??. ,,,
calculate,food_consumption_score,,,,,,,,,,,,,,,,2*${cereals_tubers} + 3*${pulses_nuts} + ${vegetables} + ${fruit} + 4*${meat_fish_eggs} + 4*${dairy} + 0.5*${sugars} + 0.5*${oils},
calculate,fcs_category,,,,,,,,,,,,,,,,"if(${food_consumption_score} <= 28, ""poor"", if(${food_consumption_score} <= 42, ""borderline"", ""acceptable""))",
end group,,,,,,,,,,,,,,,,,,
begin group,f2,Household Hunger Scale,????? ?????? ??????? ,? ????? ? ???? ???,,,,,,,,,,,,,,
select_one yn_list,no_food_house,"In the past 30 days, was there ever no food to eat of any kind in your house because of lack of resources to get food?",?? 30??? ????? ??? ????? ???? ?? ?? ???? ??? ???????? ??????? ??? ??? ??? ?? ???? ??? ??? ??? ???? ?????. ,?? ???? 30 ???? ??? ??? ???? ??? ??? ?? ? ???????? ? ???? ?? ???? ?? ??? ?? ??? ????? ?? ??,,,,TRUE,,,,,,,,,,
select_one hhs_frequency_list,no_food_house_freq,How often did this happen in the past 30 days?,?? 30 ????? ??? ??? ????? ??? ????,?? ??? ?? ???? 30 ???? ?? ?? ??? ??? ????,Read the options out loud to the respondent.,????? ?? ?? ???? ???? ????? ???? ???????,? ????????? ??? ???? ???????? ?? ?????. ,TRUE,"selected(${no_food_house}, ""yes"")",,,,,,,,,
calculate,no_food_house_score,,,,,,,,,,,,,,,,"if(selected(${no_food_house}, ""yes""), if(selected(${no_food_house_freq}, ""often""), ""2"", ""1""), ""0"")",
select_one yn_list,sleep_hungry,"In the past 30 days, did you or any household member go to sleep at night hungry because there was not enough food?",?? 30 ??? ????? ??? ??? ? ?? ???? ???? ??????? ??? ?? ??? ?????  ????? ???? ?? ????? ?? ????  ???? ???. ,?? ???? 30 ???? ?? ???? ?? ???? ????? ? ??? ???? ? ????? ? ????? ?? ???? ?? ???? ???? ????,,,,TRUE,,,,,,,,,,
select_one hhs_frequency_list,sleep_hungry_freq,How often did this happen in the past 30 days?,?? 30 ????? ??? ??? ????? ??? ????,?? ??? ?? ???? 30 ???? ?? ?? ??? ??? ????,Read the options out loud to the respondent.,????? ?? ?? ???? ???? ????? ???? ???????,? ????????? ??? ???? ???????? ?? ?????. ,TRUE,"selected(${sleep_hungry}, ""yes"")",,,,,,,,,
calculate,sleep_hungry_score,,,,,,,,,,,,,,,,"if(selected(${sleep_hungry}, ""yes""), if(selected(${sleep_hungry_freq}, ""often""), ""2"", ""1""), ""0"")",
select_one yn_list,whole_day_no_food,"In the past 30 days, did you or any household member go a whole day and night without eating anything at all because there was not enough food?",??? ??? ?? ???? ??? ??????? ???? ??? ?? 30 ??? ????? ?? ?? ????? ?? ???? ????? ???? ???? ????? ???? ??????,?? ???? 30 ???? ??? ???? ?? ???? ????? ???? ??? ?? ??? ? ????? ? ????? ?? ???? ???? ????,,,,TRUE,,,,,,,,,,
select_one hhs_frequency_list,whole_day_no_food_freq,How often did this happen in the past 30 days?,?? 30 ????? ??? ??? ????? ??? ????,?? ??? ?? ???? 30 ???? ?? ?? ??? ??? ????,Read the options out loud to the respondent.,????? ?? ?? ???? ???? ????? ???? ???????,? ????????? ??? ???? ???????? ?? ?????. ,TRUE,"selected(${whole_day_no_food}, ""yes"")",,,,,,,,,
calculate,whole_day_no_food_score,,,,,,,,,,,,,,,,"if(selected(${whole_day_no_food}, ""yes""), if(selected(${whole_day_no_food_freq}, ""often""), ""2"", ""1""), ""0"")",
calculate,household_hunger_scale,,,,,,,,,,,,,,,,${no_food_house_score} + ${sleep_hungry_score} + ${whole_day_no_food_score},
calculate,hhs_category,,,,,,,,,,,,,,,,"if(${household_hunger_scale} <= 1, ""little_hunger"", if(${household_hunger_scale} <= 3, ""moderate_hunger"", ""severe_hunger""))",
end group,,,,,,,,,,,,,,,,,,
select_one food_source_list,food_source,"In the past 7 days, what was the primary source of food provision used by the household? ",?? 7 ??? ????? ???? ???? ????? ??????? ??? ?? ??? ? ,?? ???? 7 ???? ?? ? ????? ? ???? ?????? ?????? ?? ?? ?? ???? ????? ??? ???????,,,,TRUE,,,,,,,,,,
select_one market_distance_list,market_distance,"How far from your household is this nearest marketplace or grocery store, where you could buy food and non-food items?",????? ???? ?????? ?? ????? ????? ?? ??? ?? ?? ?? ???? ????? ?? ??? ????? ?? ??????? ?????? ?? ???? ??? ???? ????? ???? ?,???? ???? ????? ?? ?????? ????? ??? ????? ?? ??? ??? ????? ??? ??? ??? ?? ?? ????? ?? ?????? ?? ??? ?????? ???? ??????,,,,TRUE,,,,,,,,,,
select_one yn_list,market_access,"In the past 7 days, have you had access to a marketplace or grocery store in your village or close to your village where you could buy food and non-food items?",?? ??? ??? ?????  ??? ??? ?????? ?? ????? ???? ?????? ? ?? ????? ?? ???? ??? ?? ???? ????? ? ?? ??? ????? ????? ???? ??????.  ,?? ???? 7 ???? ??? ???? ????? ?? ? ?????? ????? ??? ?? ???? ??? ?? ?? ????? ??? ?? ???? ????? ?? ?????? ?? ????????? ???? ?????? ?????? ??????,,,,TRUE,,,,,,,,,,
end group,,,,,,,,,,,,,,,,,,
begin group,G,Nutrition,????? ,?????,,,,,"selected(${consent}, ""yes"")",,,,,,,,,
note,nutrition_note,"You have indicated that you have ${muac_total} children 5 years old or younger but older than six months. With your help and permission, we would like to briefly screen each child for malnutrition in the next step. It�s a brief process and we won't store or share any personal data",??? ????? ?? ${muac_total} ??? ???? ????  ? ?????? ?? ? ??? ????? . ?? ??? ? ????? ???? ?? ?? ?????? ?? ????? ????? ???? ??? ???? ???? ?????  ??????? ? ??????? ???? ??? ?? ??? ?? ???? ??????,???? ????? ??? ?? ???? ?? ????? ?? ?? 6 ?????? ??? ?? ?? 5 ????? ?? $ {muac_total}  ??? ???? ????? ????? ?? ????? ?? ????? ????  ?? ??? ??? ?? ????? ? ???? ????? ????? ?????. ?? ?? ??? ????? ?? ?? ??? ?? ??? ???? ??????? ????? ?? ???? ?? ???.,,,,,,,,,,,,,,
begin repeat,g1,Mid-upper Arm Circumference,?????? ????? ???? ????,? ?????-????? ??? ??????,,,,,,,,,,,,${hh_size},,
calculate,person_sex,,,,,,,,,,,,,,,,"indexed-repeat(${hh_member_sex}, ${c1}, position(..))",
calculate,person_age,,,,,,,,,,,,,,,,"indexed-repeat(${hh_member_age}, ${c1}, position(..))",
calculate,person_muac,,,,,,,,,,,,,,,,"indexed-repeat(${muac}, ${c1}, position(..))",
begin group,g1_1,,,,,,,,${person_muac} = 1,,,,,,,,,
note,muac_note,We would now like to measure the mid-upper arm circumference of the ${person_age} year old ${person_sex} child in the household.,?? ???????? ??? ????? ??? ??? ??????? ?? ?????? ???? ??????,???? ??? ??????? ????? ? ????? ? ??? ???????? ?? ??? ?? ?? 5 ???? ?? ?? ?? 6 ?????? ???? ?? ??  ?????? ???.,,,,,${moderate_malnutrition} = 1,,,,,,,,,
integer,muac_measurement,"Please measure the nutritional status of child by using the MUAC measurement tool, and write the appropriate answer:",???? ?? ??????? ?? ????? ?????? ???? MUAC ????? ????? ???? ?? ?????? ???? ???? ? ???? ????? ????? ????. ,? ??????? ?? ??? ? ????? ?????? ???? ? MUAC ?????? ??????? ??? ????? ?????? ??? ?? ????? ???? ?????.,Remember to record the measurement in millimeters to the most accurate you can.,?????? ???? ?? ???? ???? ?? ??? ??? ?????? ?????? ,?? ??? ????? ?? ?????? ???? ?? ??? ??? (mm) ?????? ????? ?? ?? ???? ???? ?????? ??. ,TRUE,,,,. >= 80 and . <= 200,Cannot be under 80 millimeters or over 200 millimeters.,???? ?? 80 ??? ??? ?? ?????? ?? 200 ??? ??? ???? ????????,? ?? ??? ??? ??? ?? ?? ?? ??? ??? ??? ??? ??? ??????.,,,
calculate,moderate_malnutrition,,,,,,,,,,,,,,,,"if(${muac_measurement} >= 115 and ${muac_measurement} < 125, ""1"", ""0"")",
calculate,severe_malnutrition,,,,,,,,,,,,,,,,"if(${muac_measurement} < 115, ""1"", ""0"")",
note,mam_note,This child has a MUAC between 115mm and 125mm. They should be referred for supplementation as this indicates Moderate Acute Malnutrition.,??? ??? ?? ??? ?????? ???? ??? ?? ??? 115mm ? 125mm  ???? ???? ? ???? ????? ?? ??? ???? ???? ??? ???? ???? ?? ??? ????? ???? ?????.,?? ????? ? 115mm ?? 125mm ????? ?? MUAC ???. ??? ???? ? ??????? ????? ???? ?? ??? ?? ?? ? ????? ??? ???? ????? ????? ???.,,,,,${moderate_malnutrition} = 1,,,,,,,,,
note,sam_note,This child has a MUAC under 115mm. They should be immediately referred for treatment as this indicates Severe Acute Malnutrition.,??? ???? ?????? ???? ??? 115 ??? ??? ????. ???? ???? ???????? ?? ????? ?????? ???? ???? ??? ?????? ??? ????? ??? ???? ???.,?? ????? 115mm ?? MUAC ???. ??? ???? ?? ???? ??? ? ?????? ????? ???? ?? ??? ?? ?? ? ???? ??? ????????? ????? ???.,,,,,${severe_malnutrition} = 1,,,,,,,,,
select_one yn_list,rutf_reception,Has the child been receiving this (show the RUTF/RUSF) in the last 12 months?,  ??? ??? ?? ????? 12 ??? (RTUF/RUSf) ?????? ????. ,??? ????? ?? ???? 12 ?????? ?? ( RTUF/RUSf) ?? ???? ???,,,,TRUE,,,,,,,,,,rutf.jpg
end group,,,,,,,,,,,,,,,,,,
end repeat,,,,,,,,,,,,,,,,,,
calculate,mam_total,,,,,,,,,,,,,,,,sum(${moderate_malnutrition}),
calculate,sam_total,,,,,,,,,,,,,,,,sum(${severe_malnutrition}),
select_multiple mdd_list,minimum_dietary_diversity,Which foods have young children (6-23 months) eaten in the past 24 hours?,???? ??? ??? ?? ?? ????? (6 ??? 23 ) ??? ?? 24 ???? ????? ?????. ,??? ????? ?????? ???????? (6-23 ??????) ?? ???? 24 ??????? ?? ????? ???,,,,TRUE,${mdd_total} > 0,,,,,,,,,
end group,,,,,,,,,,,,,,,,,,
begin group,H,ESNFI,???? ??? ?????? ,????? ??????? ?? ??? ?????? ????,,,,,"selected(${consent}, ""yes"")",,,,,,,,,
note,esnfi_note,In the following questions we want to talk about your current shelter situation.,???: ?? ?????? ??? ?? ???????? ?? ???? ???? ?????? ???? ??? ???? ?????,??????: ?? ????? ??????? ?? ??? ????? ?? ????? ? ??? ????? ????? ????? ?? ??? ???? ????.,,,,,,,,,,,,,,
